                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.098,                 1.7233,                 1.3087,                0.44341,                0.66952,                0.55384,                0.41347,                0.96236,                 1.5443,                 1.0366,              0.0033247,              0.0033247,              0.0033247
                      2,                0.99942,                 1.1714,                 1.1462,                0.47773,                0.56217,                 0.5293,                0.37166,                 1.0198,                 1.5562,                 1.0851,              0.0066487,              0.0066487,              0.0066487
                      3,                0.95233,                 1.1751,                 1.1402,                0.61221,                0.62826,                0.63648,                0.51188,                0.79926,                 1.1993,                 1.0163,              0.0099631,              0.0099631,              0.0099631
                      4,                0.96685,                 1.2346,                 1.1526,                0.62534,                0.71561,                0.68754,                 0.5485,                0.69518,                 1.0626,                0.97022,              0.0099576,              0.0099576,              0.0099576
                      5,                0.93779,                 1.1663,                 1.1451,                0.50084,                0.58411,                0.56622,                0.41312,                0.90225,                 1.3084,                 1.0742,              0.0099434,              0.0099434,              0.0099434
                      6,                0.89802,                 1.1084,                  1.123,                0.65131,                0.73454,                0.74466,                0.63183,                0.64189,                 1.0645,                0.93595,              0.0099293,              0.0099293,              0.0099293
                      7,                0.87038,                 1.0554,                 1.1124,                0.64256,                 0.7205,                0.75121,                 0.6339,                0.62194,                0.92459,                0.93678,              0.0099151,              0.0099151,              0.0099151
                      8,                0.86319,                 1.0328,                 1.1077,                 0.6499,                0.70351,                0.73635,                0.62244,                0.65193,                0.96695,                0.94551,               0.009901,               0.009901,               0.009901
                      9,                0.84514,                 1.0064,                 1.0912,                0.77085,                0.72975,                0.78128,                0.66166,                0.64465,                0.92082,                0.94034,              0.0098869,              0.0098869,              0.0098869
                     10,                 0.8134,                0.98692,                 1.0865,                0.59935,                0.71358,                0.70391,                0.59015,                0.59868,                0.97069,                0.91796,              0.0098727,              0.0098727,              0.0098727
                     11,                0.80162,                0.95705,                 1.0732,                0.71663,                0.71613,                 0.7795,                0.66426,                0.58616,                 0.9878,                0.91659,              0.0098586,              0.0098586,              0.0098586
                     12,                0.78399,                0.92598,                  1.068,                 0.7435,                0.65952,                0.78773,                0.68787,                 0.5736,                0.83148,                0.90442,              0.0098444,              0.0098444,              0.0098444
                     13,                0.77666,                0.92488,                 1.0635,                0.75437,                0.72222,                0.81275,                0.71731,                0.54727,                0.80899,                0.89157,              0.0098303,              0.0098303,              0.0098303
                     14,                0.75764,                0.90192,                 1.0521,                0.60501,                0.72525,                0.72587,                0.63064,                0.56642,                0.92348,                0.90293,              0.0098161,              0.0098161,              0.0098161
                     15,                0.75582,                0.89045,                 1.0534,                0.70135,                0.78877,                0.80383,                0.70106,                0.55952,                0.74957,                0.90433,               0.009802,               0.009802,               0.009802
                     16,                0.74317,                0.87588,                 1.0467,                0.72454,                0.72208,                0.78729,                0.69191,                0.56668,                0.81074,                0.90428,              0.0097879,              0.0097879,              0.0097879
                     17,                0.73887,                0.86394,                 1.0505,                0.69414,                0.79676,                0.82385,                0.72533,                0.56626,                0.74452,                0.90178,              0.0097737,              0.0097737,              0.0097737
                     18,                0.73102,                0.84769,                 1.0429,                0.74489,                0.73419,                0.81894,                  0.723,                0.52281,                0.73016,                0.87906,              0.0097596,              0.0097596,              0.0097596
                     19,                   0.72,                0.83615,                 1.0381,                0.65332,                0.62194,                0.68568,                0.59015,                0.54797,                  1.087,                0.89619,              0.0097454,              0.0097454,              0.0097454
                     20,                0.72579,                0.83439,                 1.0379,                0.76106,                0.76766,                0.83416,                0.73474,                0.52157,                0.74517,                0.88855,              0.0097313,              0.0097313,              0.0097313
                     21,                0.70572,                 0.8098,                 1.0315,                0.71463,                0.75992,                 0.8144,                0.72146,                 0.5333,                0.77755,                0.88613,              0.0097171,              0.0097171,              0.0097171
                     22,                0.71421,                0.82641,                  1.032,                0.77547,                0.77657,                0.84898,                0.74969,                0.53812,                0.70546,                0.88286,               0.009703,               0.009703,               0.009703
                     23,                0.70146,                0.80381,                 1.0288,                0.72846,                0.80423,                0.82683,                0.73551,                0.51542,                0.69644,                0.87717,              0.0096889,              0.0096889,              0.0096889
                     24,                 0.6992,                0.78896,                 1.0256,                 0.7472,                0.80191,                0.85183,                0.76115,                0.51608,                0.70554,                0.88375,              0.0096747,              0.0096747,              0.0096747
                     25,                 0.6836,                0.78535,                 1.0158,                0.77364,                0.81588,                0.86506,                 0.7688,                0.52862,                0.67862,                0.87996,              0.0096606,              0.0096606,              0.0096606
                     26,                0.68993,                0.77594,                 1.0232,                0.79112,                 0.7651,                0.85319,                0.76619,                0.50863,                0.65408,                0.86337,              0.0096464,              0.0096464,              0.0096464
                     27,                0.67554,                0.75466,                 1.0158,                0.80142,                0.77657,                0.85525,                0.76188,                0.51185,                0.65969,                0.87559,              0.0096323,              0.0096323,              0.0096323
                     28,                0.67754,                0.75409,                 1.0147,                0.79783,                0.81356,                0.87174,                0.78091,                0.50745,                0.65102,                0.87169,              0.0096181,              0.0096181,              0.0096181
                     29,                0.67769,                0.75098,                  1.011,                0.78614,                0.76257,                0.85532,                0.76306,                0.51729,                0.66118,                0.87481,               0.009604,               0.009604,               0.009604
                     30,                0.67198,                0.75087,                   1.01,                0.78839,                0.75187,                0.83549,                0.75208,                0.50283,                0.71279,                0.87508,              0.0095899,              0.0095899,              0.0095899
                     31,                0.66548,                0.72994,                 1.0158,                0.78665,                0.79428,                0.84831,                0.76128,                0.48716,                0.65849,                0.87149,              0.0095757,              0.0095757,              0.0095757
                     32,                0.66631,                0.72757,                 1.0131,                0.76324,                0.82324,                 0.8569,                0.77489,                0.48706,                0.64699,                0.86038,              0.0095616,              0.0095616,              0.0095616
                     33,                0.67099,                0.72947,                 1.0099,                0.80044,                0.80699,                0.86293,                0.77694,                0.48832,                0.63389,                0.85852,              0.0095474,              0.0095474,              0.0095474
                     34,                0.65998,                  0.718,                 1.0103,                0.74513,                  0.801,                0.84267,                0.75954,                0.48524,                0.67784,                0.86142,              0.0095333,              0.0095333,              0.0095333
                     35,                0.65628,                0.70416,                 1.0024,                0.78428,                0.80134,                0.86119,                0.78273,                 0.4865,                0.64161,                0.86131,              0.0095191,              0.0095191,              0.0095191
                     36,                0.65333,                0.69379,                  1.001,                0.78692,                0.81674,                 0.8612,                0.77169,                0.48915,                0.65463,                0.86458,               0.009505,               0.009505,               0.009505
                     37,                0.64242,                0.68564,                0.99688,                0.79746,                0.77656,                0.85243,                0.76483,                0.48588,                0.65699,                0.86292,              0.0094909,              0.0094909,              0.0094909
                     38,                0.64782,                0.69427,                 1.0019,                  0.782,                0.78537,                0.84103,                0.75807,                 0.4872,                0.67161,                0.86499,              0.0094767,              0.0094767,              0.0094767
