                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9605,                 3.9108,                 3.8099,                0.08464,                0.12626,                0.05532,                  0.018,                 2.2445,                 3.9791,                 3.1833,              0.0033247,              0.0033247,              0.0033247
                      2,                    2.1,                 2.8824,                 2.7691,                0.27002,                0.31598,                0.21188,                0.11498,                 1.6734,                 2.3972,                 2.3255,              0.0066487,              0.0066487,              0.0066487
                      3,                 1.6711,                  2.306,                 2.2129,                0.39216,                0.32789,                0.23983,                0.13801,                 1.4696,                 2.3939,                 1.9666,              0.0099631,              0.0099631,              0.0099631
                      4,                 1.4729,                 1.9656,                 1.9484,                0.41651,                0.45457,                0.37952,                 0.2489,                 1.1664,                 2.5047,                 1.6459,              0.0099576,              0.0099576,              0.0099576
                      5,                 1.3613,                 1.7306,                 1.7957,                0.36813,                0.57399,                0.42859,                0.25307,                 1.2437,                 1.7857,                 1.6211,              0.0099434,              0.0099434,              0.0099434
                      6,                 1.2824,                   1.61,                 1.6867,                0.46532,                0.62049,                0.52674,                0.35862,                 1.0156,                 1.5054,                 1.4536,              0.0099293,              0.0099293,              0.0099293
                      7,                 1.2396,                 1.5254,                 1.6426,                0.46878,                0.55392,                0.51197,                 0.3974,                0.87251,                 1.4549,                 1.3172,              0.0099151,              0.0099151,              0.0099151
                      8,                 1.2216,                 1.4848,                 1.6149,                0.55034,                0.59664,                0.56636,                0.40862,                 1.0748,                 1.3567,                 1.4203,               0.009901,               0.009901,               0.009901
                      9,                 1.1904,                 1.4355,                 1.5707,                0.50167,                0.56907,                0.51673,                0.38673,                0.93728,                 1.6632,                   1.34,              0.0098869,              0.0098869,              0.0098869
                     10,                 1.1616,                 1.4102,                 1.5458,                0.54601,                0.59212,                0.59441,                0.44302,                0.90426,                 1.3288,                 1.3115,              0.0098727,              0.0098727,              0.0098727
                     11,                 1.1439,                 1.3628,                 1.5257,                0.49099,                0.61506,                0.54017,                0.41242,                0.85663,                 1.7201,                 1.2572,              0.0098586,              0.0098586,              0.0098586
                     12,                  1.115,                  1.315,                 1.4963,                0.54973,                0.67894,                0.62055,                0.48922,                 0.8546,                 1.1908,                 1.2469,              0.0098444,              0.0098444,              0.0098444
                     13,                 1.0875,                  1.303,                 1.4669,                0.56369,                0.67241,                0.63115,                0.50309,                0.79098,                 1.1351,                 1.2155,              0.0098303,              0.0098303,              0.0098303
                     14,                 1.0717,                 1.2736,                 1.4498,                0.59947,                0.69899,                 0.6862,                0.53962,                0.85536,                 1.1069,                 1.2178,              0.0098161,              0.0098161,              0.0098161
                     15,                 1.0593,                 1.2463,                 1.4433,                0.55644,                 0.6522,                0.65999,                 0.4823,                 1.0252,                 1.0882,                 1.3364,               0.009802,               0.009802,               0.009802
                     16,                 1.0392,                  1.213,                 1.4162,                0.59223,                0.62549,                0.65424,                0.52279,                0.77772,                 1.0776,                 1.1693,              0.0097879,              0.0097879,              0.0097879
                     17,                 1.0163,                 1.1989,                 1.3932,                0.54642,                0.67154,                0.64442,                0.52441,                0.73917,                 1.1067,                 1.1278,              0.0097737,              0.0097737,              0.0097737
                     18,                 1.0015,                 1.1713,                 1.3726,                0.64827,                0.69501,                0.73687,                0.60543,                0.71901,                0.98007,                 1.1299,              0.0097596,              0.0097596,              0.0097596
                     19,                0.99082,                 1.1629,                  1.372,                 0.6313,                0.72144,                0.74955,                0.60819,                0.76865,                0.98616,                 1.1626,              0.0097454,              0.0097454,              0.0097454
                     20,                0.98966,                 1.1575,                 1.3619,                0.62506,                0.70363,                0.72464,                0.60922,                0.67187,                 1.0989,                 1.0992,              0.0097313,              0.0097313,              0.0097313
                     21,                0.97097,                 1.1325,                 1.3535,                0.66782,                0.70679,                0.75406,                0.62157,                0.71753,                0.90956,                 1.1327,              0.0097171,              0.0097171,              0.0097171
                     22,                0.96239,                 1.1371,                 1.3425,                0.66543,                0.69378,                0.75414,                0.62386,                0.70994,                0.95654,                 1.1091,               0.009703,               0.009703,               0.009703
                     23,                0.94242,                 1.1019,                 1.3243,                0.70019,                0.68966,                0.76102,                 0.6345,                 0.6924,                0.91331,                 1.0949,              0.0096889,              0.0096889,              0.0096889
                     24,                0.93927,                 1.0904,                 1.3214,                 0.6935,                0.71498,                0.79049,                 0.6355,                0.74438,                0.88109,                 1.1295,              0.0096747,              0.0096747,              0.0096747
                     25,                0.91704,                 1.0699,                 1.3001,                0.67593,                0.72062,                 0.7683,                0.63776,                0.70619,                0.89647,                 1.1067,              0.0096606,              0.0096606,              0.0096606
                     26,                0.92054,                 1.0766,                  1.303,                0.65613,                0.70679,                0.74565,                0.63693,                0.66791,                0.95184,                 1.0795,              0.0096464,              0.0096464,              0.0096464
                     27,                0.90334,                 1.0474,                 1.2918,                0.71906,                0.70646,                 0.7823,                0.64624,                0.76867,                0.90107,                 1.1402,              0.0096323,              0.0096323,              0.0096323
                     28,                0.90799,                 1.0521,                 1.2869,                0.71317,                0.71792,                0.79005,                0.66301,                0.67462,                0.88647,                 1.0609,              0.0096181,              0.0096181,              0.0096181
                     29,                0.90229,                 1.0494,                 1.2769,                0.69532,                0.71248,                0.77542,                0.66587,                0.63668,                0.94354,                 1.0504,               0.009604,               0.009604,               0.009604
                     30,                0.88839,                 1.0439,                 1.2715,                0.72047,                0.71411,                0.79814,                0.68699,                0.61368,                0.86801,                 1.0272,              0.0095899,              0.0095899,              0.0095899
                     31,                 0.8805,                 1.0201,                 1.2689,                0.64675,                0.74387,                0.76247,                0.65078,                0.63103,                0.87686,                 1.0433,              0.0095757,              0.0095757,              0.0095757
                     32,                 0.8751,                 1.0025,                 1.2681,                0.70957,                0.72702,                0.79489,                0.67327,                0.67241,                0.83345,                 1.0692,              0.0095616,              0.0095616,              0.0095616
                     33,                0.87656,                  1.006,                 1.2551,                0.74063,                0.70254,                0.79902,                 0.6933,                0.63048,                0.82547,                  1.029,              0.0095474,              0.0095474,              0.0095474
                     34,                0.86642,                 1.0013,                 1.2548,                0.69541,                 0.7471,                0.79509,                0.66725,                0.70169,                 0.8696,                 1.0856,              0.0095333,              0.0095333,              0.0095333
                     35,                0.85715,                0.98698,                 1.2409,                0.69192,                0.73276,                0.78757,                0.68513,                0.61675,                0.91989,                 1.0208,              0.0095191,              0.0095191,              0.0095191
                     36,                0.85398,                0.96743,                 1.2405,                0.69942,                0.74716,                0.79932,                0.68064,                0.62675,                0.83359,                 1.0283,               0.009505,               0.009505,               0.009505
                     37,                0.85302,                 0.9682,                 1.2404,                0.72189,                0.74784,                 0.8066,                0.69808,                0.60832,                0.81707,                 1.0229,              0.0094909,              0.0094909,              0.0094909
                     38,                 0.8374,                0.95967,                 1.2322,                0.68675,                0.74753,                0.79338,                0.69783,                0.58712,                0.81325,                 1.0104,              0.0094767,              0.0094767,              0.0094767
                     39,                0.85036,                0.95739,                 1.2335,                0.72751,                0.72864,                0.79509,                0.69877,                0.57519,                0.80475,                0.99331,              0.0094626,              0.0094626,              0.0094626
                     40,                0.84261,                0.96399,                 1.2317,                0.71197,                0.71909,                0.79946,                0.69598,                0.59076,                0.80582,                 1.0017,              0.0094484,              0.0094484,              0.0094484
                     41,                0.82045,                0.94234,                 1.2038,                0.69349,                0.75834,                0.79683,                0.69077,                0.58982,                0.84636,                 1.0093,              0.0094343,              0.0094343,              0.0094343
                     42,                0.81948,                 0.9423,                 1.2163,                0.69178,                0.76574,                0.79956,                0.69695,                 0.5876,                 0.7884,                 1.0042,              0.0094201,              0.0094201,              0.0094201
                     43,                0.82533,                0.92845,                 1.2134,                0.71458,                0.74249,                0.80925,                0.70784,                0.57264,                0.78196,                0.99051,               0.009406,               0.009406,               0.009406
                     44,                0.82124,                0.93369,                 1.2162,                0.72558,                0.72012,                0.80241,                0.70862,                0.56447,                0.80859,                0.98683,              0.0093919,              0.0093919,              0.0093919
                     45,                0.81903,                0.92275,                 1.2085,                0.72398,                0.72258,                0.80975,                0.70531,                0.57627,                0.78439,                0.99425,              0.0093777,              0.0093777,              0.0093777
