                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0448,                 3.9792,                 3.9595,                0.01068,                 0.0335,                0.00369,                0.00108,                  2.813,                 3.8987,                 3.8175,              0.0033247,              0.0033247,              0.0033247
                      2,                 2.2625,                 3.0652,                 2.9631,                  0.239,                0.30063,                0.16695,                0.07852,                 1.8746,                 2.4497,                 2.5317,              0.0066487,              0.0066487,              0.0066487
                      3,                 1.7446,                 2.4223,                 2.3061,                0.24493,                0.41301,                0.22884,                0.13363,                 1.4429,                 2.7644,                 1.9885,              0.0099631,              0.0099631,              0.0099631
                      4,                  1.494,                 2.0354,                 1.9806,                0.39129,                0.46768,                0.37098,                0.24671,                  1.168,                 1.7785,                 1.6522,              0.0099576,              0.0099576,              0.0099576
                      5,                 1.3763,                 1.7925,                 1.8243,                  0.456,                0.46819,                 0.4423,                0.27478,                 1.2083,                 1.7686,                 1.6217,              0.0099434,              0.0099434,              0.0099434
                      6,                 1.2895,                 1.6564,                 1.7155,                0.41224,                0.46255,                0.43873,                0.30233,                 1.1232,                 1.6118,                 1.5779,              0.0099293,              0.0099293,              0.0099293
                      7,                 1.2404,                 1.5472,                 1.6643,                0.50428,                0.50864,                0.53401,                0.40335,                0.87442,                 1.3833,                 1.3423,              0.0099151,              0.0099151,              0.0099151
                      8,                 1.2109,                 1.4964,                 1.6206,                0.52681,                0.60094,                0.55902,                0.41905,                0.94083,                 1.3218,                 1.3616,               0.009901,               0.009901,               0.009901
                      9,                 1.1826,                 1.4495,                 1.5877,                0.49409,                0.59577,                0.55337,                0.42284,                0.91787,                 1.4932,                 1.3315,              0.0098869,              0.0098869,              0.0098869
                     10,                 1.1516,                 1.4162,                 1.5586,                0.57798,                0.63495,                0.61402,                0.46907,                0.85798,                 1.2353,                 1.2905,              0.0098727,              0.0098727,              0.0098727
                     11,                 1.1146,                 1.3625,                 1.5266,                0.58755,                0.60666,                0.62857,                0.49343,                0.83496,                  1.386,                 1.2458,              0.0098586,              0.0098586,              0.0098586
                     12,                 1.0822,                 1.3216,                 1.4927,                0.60098,                0.63063,                0.64552,                 0.5109,                0.84615,                 1.1528,                 1.2589,              0.0098444,              0.0098444,              0.0098444
                     13,                 1.0682,                 1.3122,                 1.4705,                0.57479,                0.65892,                0.62548,                0.50176,                0.73049,                 1.1653,                 1.1801,              0.0098303,              0.0098303,              0.0098303
                     14,                 1.0359,                 1.2719,                 1.4444,                0.60321,                0.68718,                0.69215,                0.56271,                0.74911,                 1.0339,                 1.1788,              0.0098161,              0.0098161,              0.0098161
                     15,                 1.0169,                 1.2418,                 1.4311,                0.59019,                 0.6596,                0.68626,                0.55072,                0.78716,                 1.0744,                 1.2045,               0.009802,               0.009802,               0.009802
                     16,                 1.0057,                 1.2153,                 1.4183,                 0.6568,                0.70268,                0.71911,                0.60356,                0.68743,                0.96258,                 1.1472,              0.0097879,              0.0097879,              0.0097879
                     17,                0.97814,                 1.2014,                 1.3924,                0.60426,                0.63482,                 0.6825,                0.57706,                0.65612,                 1.0435,                 1.1106,              0.0097737,              0.0097737,              0.0097737
                     18,                0.96474,                 1.1635,                 1.3711,                0.64293,                0.69843,                 0.7456,                0.63114,                0.65799,                0.97449,                 1.1069,              0.0097596,              0.0097596,              0.0097596
                     19,                0.94744,                 1.1548,                 1.3671,                0.66981,                0.69742,                0.78197,                0.64544,                0.68418,                0.93508,                 1.1174,              0.0097454,              0.0097454,              0.0097454
                     20,                0.94146,                 1.1407,                 1.3475,                0.67601,                0.68961,                0.75927,                0.64899,                0.63292,                0.96264,                 1.0949,              0.0097313,              0.0097313,              0.0097313
