                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1528,                 4.2425,                  4.086,                0.08172,                0.03983,                0.02117,                 0.0055,                 2.8028,                 3.8082,                 3.8337,              0.0033247,              0.0033247,              0.0033247
                      2,                 2.4076,                 3.2269,                 3.1162,                 0.2648,                 0.1967,                0.13451,                0.06536,                  1.929,                 2.6881,                 2.6463,              0.0066487,              0.0066487,              0.0066487
                      3,                 1.7664,                 2.4785,                 2.2986,                 0.2499,                0.37764,                0.21759,                0.12321,                 1.6132,                 2.3892,                 2.1103,              0.0099631,              0.0099631,              0.0099631
                      4,                 1.5074,                 2.0709,                 1.9504,                0.31925,                0.48453,                0.33167,                0.21573,                 1.1796,                 1.9856,                 1.6186,              0.0099576,              0.0099576,              0.0099576
                      5,                 1.3829,                 1.8014,                 1.7781,                0.43246,                0.46027,                0.40802,                0.24779,                 1.3556,                 1.7529,                 1.6763,              0.0099434,              0.0099434,              0.0099434
                      6,                 1.3054,                 1.6715,                 1.6763,                0.47544,                0.59854,                 0.5169,                0.35744,                 1.1115,                 1.6597,                 1.4873,              0.0099293,              0.0099293,              0.0099293
                      7,                 1.2572,                 1.5642,                 1.6277,                0.48245,                0.48567,                0.49472,                0.37502,                0.96005,                 1.4276,                 1.3466,              0.0099151,              0.0099151,              0.0099151
                      8,                  1.222,                 1.5066,                 1.5895,                0.54358,                0.49526,                0.49305,                0.35245,                 1.0871,                 1.4795,                 1.4231,               0.009901,               0.009901,               0.009901
                      9,                 1.1785,                 1.4608,                 1.5459,                0.53207,                0.62294,                0.60051,                 0.4732,                0.84834,                 1.2493,                 1.2565,              0.0098869,              0.0098869,              0.0098869
                     10,                 1.1423,                  1.429,                 1.5181,                0.54413,                0.57602,                0.58096,                0.45668,                0.78673,                 1.3312,                 1.2211,              0.0098727,              0.0098727,              0.0098727
                     11,                 1.1212,                 1.3778,                  1.495,                0.58216,                0.65474,                0.61956,                0.48897,                0.82693,                 1.3602,                 1.2309,              0.0098586,              0.0098586,              0.0098586
                     12,                  1.076,                 1.3256,                 1.4505,                0.53198,                0.65668,                0.59102,                0.47709,                0.78675,                 1.2152,                 1.1873,              0.0098444,              0.0098444,              0.0098444
                     13,                 1.0502,                 1.3118,                 1.4264,                0.52055,                0.66572,                0.62758,                0.50387,                0.77038,                  1.201,                 1.1976,              0.0098303,              0.0098303,              0.0098303
                     14,                 1.0318,                 1.2693,                 1.4094,                0.59184,                0.65694,                0.65234,                0.53546,                0.73438,                 1.0291,                 1.1456,              0.0098161,              0.0098161,              0.0098161
                     15,                 1.0067,                 1.2397,                 1.3941,                0.53306,                0.68711,                0.64463,                0.51722,                0.80407,                 1.0677,                 1.2042,               0.009802,               0.009802,               0.009802
                     16,                 1.0132,                 1.2208,                  1.394,                0.60859,                0.67726,                0.67961,                0.56168,                0.72801,                 1.0013,                 1.1518,              0.0097879,              0.0097879,              0.0097879
                     17,                0.97453,                 1.1926,                 1.3653,                 0.5242,                 0.6697,                0.57754,                 0.4856,                0.68968,                 1.1754,                 1.1133,              0.0097737,              0.0097737,              0.0097737
                     18,                0.96661,                 1.1712,                 1.3459,                 0.6272,                0.72179,                0.72361,                0.61055,                0.66275,                0.95107,                 1.0855,              0.0097596,              0.0097596,              0.0097596
                     19,                0.94115,                 1.1463,                 1.3346,                0.62013,                0.73178,                0.73376,                0.60908,                0.69971,                 1.0151,                 1.1135,              0.0097454,              0.0097454,              0.0097454
                     20,                0.93544,                 1.1447,                 1.3233,                0.64884,                0.66974,                0.73391,                0.62243,                0.66242,                0.96113,                 1.0988,              0.0097313,              0.0097313,              0.0097313
                     21,                0.91908,                 1.1244,                 1.3135,                0.66097,                0.68577,                0.74854,                0.63105,                0.67633,                0.90753,                 1.1066,              0.0097171,              0.0097171,              0.0097171
                     22,                0.91581,                 1.1223,                 1.3061,                0.70759,                 0.6801,                0.75703,                0.64539,                0.63988,                0.92385,                 1.0742,               0.009703,               0.009703,               0.009703
                     23,                0.89917,                 1.0896,                 1.2962,                0.68022,                 0.6539,                0.73957,                0.64404,                0.59332,                0.97316,                 1.0343,              0.0096889,              0.0096889,              0.0096889
                     24,                 0.8932,                 1.0773,                 1.2887,                0.68633,                 0.6894,                0.76326,                0.64009,                0.68704,                0.89964,                 1.1101,              0.0096747,              0.0096747,              0.0096747
                     25,                0.87087,                 1.0575,                 1.2639,                0.72513,                0.66748,                0.77107,                0.66701,                0.60765,                0.86682,                  1.045,              0.0096606,              0.0096606,              0.0096606
                     26,                0.87834,                 1.0642,                 1.2736,                 0.7078,                0.70233,                 0.7715,                0.66661,                0.61658,                0.87416,                 1.0396,              0.0096464,              0.0096464,              0.0096464
                     27,                0.85984,                 1.0404,                  1.262,                 0.6362,                0.75521,                0.75664,                0.65671,                0.61579,                0.88566,                  1.048,              0.0096323,              0.0096323,              0.0096323
                     28,                0.86357,                 1.0399,                 1.2561,                0.69948,                0.69689,                0.77728,                0.67721,                0.60589,                0.83118,                 1.0275,              0.0096181,              0.0096181,              0.0096181
                     29,                0.86553,                 1.0461,                   1.25,                0.71941,                 0.7052,                0.78906,                0.67368,                0.61556,                0.87826,                 1.0521,               0.009604,               0.009604,               0.009604
                     30,                0.84617,                 1.0282,                 1.2489,                0.71304,                0.71312,                0.79422,                0.69014,                0.58318,                0.87876,                 1.0157,              0.0095899,              0.0095899,              0.0095899
                     31,                0.83548,                 1.0067,                 1.2407,                0.67014,                0.72605,                 0.7679,                0.67112,                0.56806,                0.84304,                 1.0068,              0.0095757,              0.0095757,              0.0095757
                     32,                0.83191,                0.99006,                  1.241,                0.69497,                0.72964,                0.78418,                0.68279,                0.58248,                0.82351,                 1.0231,              0.0095616,              0.0095616,              0.0095616
                     33,                0.84345,                 1.0019,                   1.24,                0.71061,                0.72976,                0.79002,                 0.6911,                0.57815,                0.80971,                  1.012,              0.0095474,              0.0095474,              0.0095474
                     34,                0.82565,                0.98881,                 1.2314,                0.64263,                0.73046,                0.76619,                0.67526,                 0.5776,                0.83618,                 1.0179,              0.0095333,              0.0095333,              0.0095333
                     35,                0.81654,                 0.9655,                  1.221,                0.73392,                0.71333,                0.79302,                0.70026,                0.55733,                0.80379,                0.99531,              0.0095191,              0.0095191,              0.0095191
                     36,                0.81467,                0.95028,                 1.2227,                0.69354,                0.77668,                0.81354,                0.71471,                0.55409,                0.76633,                0.98704,               0.009505,               0.009505,               0.009505
                     37,                0.81656,                0.95671,                 1.2205,                0.67213,                0.75211,                0.78259,                0.69095,                0.55916,                0.80311,                0.99419,              0.0094909,              0.0094909,              0.0094909
                     38,                0.79758,                0.94686,                 1.2117,                   0.72,                0.71383,                0.80313,                0.71091,                0.55273,                0.76799,                 1.0002,              0.0094767,              0.0094767,              0.0094767
                     39,                 0.8083,                0.94533,                 1.2121,                 0.7185,                0.75847,                0.80959,                0.71624,                0.55476,                0.77578,                 0.9904,              0.0094626,              0.0094626,              0.0094626
                     40,                0.80372,                0.94696,                 1.2136,                0.72043,                0.73704,                0.80854,                0.71406,                0.54343,                0.78102,                 0.9877,              0.0094484,              0.0094484,              0.0094484
                     41,                0.78848,                0.92289,                 1.1913,                 0.7502,                0.71567,                0.80578,                0.71686,                0.53613,                0.77804,                0.97259,              0.0094343,              0.0094343,              0.0094343
                     42,                0.78823,                0.92663,                 1.2026,                0.71248,                 0.7587,                0.81007,                0.72018,                0.53279,                0.73047,                0.97068,              0.0094201,              0.0094201,              0.0094201
                     43,                0.79038,                0.91399,                 1.1992,                0.77937,                0.69315,                 0.8134,                0.72279,                 0.5395,                0.73679,                0.98052,               0.009406,               0.009406,               0.009406
                     44,                0.78573,                0.91662,                 1.2001,                0.71071,                 0.7696,                0.82332,                0.73422,                0.53619,                0.73345,                0.97537,              0.0093919,              0.0093919,              0.0093919
                     45,                0.78194,                0.91096,                 1.1943,                0.70938,                0.76026,                0.82352,                0.73657,                0.52831,                0.73092,                0.96724,              0.0093777,              0.0093777,              0.0093777
                     46,                0.77776,                0.90091,                 1.1886,                0.70984,                0.74529,                0.81212,                0.72443,                0.53979,                0.74539,                0.98174,              0.0093636,              0.0093636,              0.0093636
