                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2675,                 4.5887,                 4.1501,                0.00617,                0.01145,                0.00208,                0.00063,                 3.0843,                 6.3076,                 4.0453,              0.0033247,              0.0033247,              0.0033247
                      2,                 2.4081,                 3.2153,                 3.2156,                0.22909,                0.37098,                 0.1848,                0.10649,                 1.5547,                 2.9842,                  2.353,              0.0066487,              0.0066487,              0.0066487
                      3,                 1.5794,                 2.2204,                 2.2293,                0.24828,                0.45119,                0.24248,                0.16129,                 1.3178,                 2.0165,                 1.9253,              0.0099631,              0.0099631,              0.0099631
                      4,                 1.3457,                 1.8397,                 1.9264,                0.25146,                0.55125,                0.28533,                0.20994,                0.96906,                 2.0172,                 1.5618,              0.0099576,              0.0099576,              0.0099576
                      5,                 1.2445,                 1.6804,                 1.8059,                0.27328,                0.52973,                0.32027,                0.22253,                 1.0987,                 1.5221,                 1.6157,              0.0099434,              0.0099434,              0.0099434
                      6,                 1.1615,                 1.5716,                  1.703,                 0.3704,                0.60239,                0.45922,                0.37048,                0.77827,                 1.3787,                 1.3434,              0.0099293,              0.0099293,              0.0099293
                      7,                 1.0571,                 1.4614,                 1.5985,                0.38508,                0.55372,                0.43895,                0.35179,                0.76708,                 1.3632,                 1.3291,              0.0099151,              0.0099151,              0.0099151
                      8,                 1.0147,                 1.4262,                 1.5458,                0.45421,                0.64225,                0.50826,                0.41247,                0.70672,                 1.3118,                 1.2479,               0.009901,               0.009901,               0.009901
                      9,                0.96642,                 1.3715,                 1.4985,                0.48567,                 0.5683,                0.53956,                0.44665,                0.67585,                 1.3232,                  1.212,              0.0098869,              0.0098869,              0.0098869
                     10,                0.92737,                 1.3315,                 1.4653,                0.43392,                0.61678,                0.53006,                0.43642,                0.66649,                 1.2226,                 1.2072,              0.0098727,              0.0098727,              0.0098727
                     11,                0.90502,                 1.2859,                 1.4327,                  0.559,                0.63795,                  0.604,                0.49494,                0.69418,                 1.2125,                  1.252,              0.0098586,              0.0098586,              0.0098586
                     12,                0.87734,                 1.2492,                 1.4036,                0.59944,                0.62929,                0.62545,                 0.5247,                0.64686,                 1.1083,                 1.1729,              0.0098444,              0.0098444,              0.0098444
                     13,                0.87522,                 1.2432,                 1.3927,                0.61382,                0.60423,                0.60442,                0.51465,                0.61301,                 1.0547,                 1.1362,              0.0098303,              0.0098303,              0.0098303
                     14,                0.84806,                 1.2117,                 1.3722,                0.61393,                0.60518,                0.62804,                0.53453,                0.63331,                 1.0419,                 1.1737,              0.0098161,              0.0098161,              0.0098161
                     15,                0.84004,                 1.1993,                 1.3634,                0.60123,                0.57972,                0.64232,                0.55113,                0.61296,                 1.0666,                 1.1321,               0.009802,               0.009802,               0.009802
                     16,                0.82321,                 1.1674,                 1.3454,                0.58939,                 0.5815,                0.63086,                0.54248,                0.60263,                 0.9909,                 1.1385,              0.0097879,              0.0097879,              0.0097879
                     17,                0.81448,                 1.1566,                 1.3371,                0.68825,                0.57438,                0.64702,                0.56391,                0.57913,                 1.0394,                 1.1029,              0.0097737,              0.0097737,              0.0097737
                     18,                0.81312,                 1.1376,                 1.3176,                 0.6278,                0.68645,                0.71055,                0.61248,                0.59803,                0.95377,                 1.1149,              0.0097596,              0.0097596,              0.0097596
                     19,                0.79705,                 1.1222,                 1.3197,                0.70183,                0.58655,                0.71009,                0.62749,                0.58158,                0.92942,                 1.1029,              0.0097454,              0.0097454,              0.0097454
                     20,                0.79624,                 1.1138,                 1.3004,                0.68393,                0.68836,                0.71775,                0.62234,                0.58659,                0.96788,                 1.1028,              0.0097313,              0.0097313,              0.0097313
                     21,                0.78403,                 1.0926,                  1.297,                0.62488,                0.69668,                0.72724,                0.63192,                  0.591,                0.91761,                 1.0927,              0.0097171,              0.0097171,              0.0097171
                     22,                0.78482,                 1.1082,                 1.2895,                 0.6083,                0.70878,                0.71394,                 0.6194,                0.59046,                0.97782,                 1.0979,               0.009703,               0.009703,               0.009703
                     23,                0.76678,                 1.0815,                  1.287,                0.65996,                0.68336,                0.72608,                0.64502,                0.53574,                0.88018,                 1.0556,              0.0096889,              0.0096889,              0.0096889
                     24,                0.76992,                 1.0636,                 1.2812,                0.69199,                0.67942,                0.73197,                0.64291,                0.55825,                 0.9219,                 1.0736,              0.0096747,              0.0096747,              0.0096747
                     25,                0.74791,                 1.0539,                 1.2579,                0.71646,                0.71067,                0.77184,                0.67422,                0.55276,                0.84267,                 1.0729,              0.0096606,              0.0096606,              0.0096606
                     26,                0.75599,                 1.0529,                 1.2578,                0.66628,                0.62377,                0.71738,                0.62955,                0.54731,                0.89449,                 1.0508,              0.0096464,              0.0096464,              0.0096464
                     27,                0.74134,                 1.0331,                 1.2546,                0.63047,                0.67103,                0.71593,                0.62074,                 0.5665,                0.92086,                 1.0647,              0.0096323,              0.0096323,              0.0096323
                     28,                0.74717,                 1.0357,                 1.2479,                0.68203,                0.75426,                0.78979,                0.69389,                0.55558,                0.82362,                 1.0624,              0.0096181,              0.0096181,              0.0096181
                     29,                0.74779,                 1.0261,                 1.2423,                0.72735,                0.70499,                0.77045,                0.68105,                 0.5461,                0.86607,                 1.0645,               0.009604,               0.009604,               0.009604
                     30,                0.73763,                 1.0334,                 1.2441,                0.72382,                0.71749,                0.79052,                0.69342,                 0.5454,                0.81306,                 1.0545,              0.0095899,              0.0095899,              0.0095899
                     31,                0.73134,                  1.012,                 1.2375,                 0.6907,                0.71182,                0.76142,                0.66499,                0.55403,                0.83495,                 1.0658,              0.0095757,              0.0095757,              0.0095757
                     32,                0.73031,                0.99133,                 1.2374,                0.70377,                0.79133,                0.79116,                0.69689,                0.53718,                0.81175,                 1.0407,              0.0095616,              0.0095616,              0.0095616
                     33,                0.73691,                 0.9873,                 1.2341,                0.68932,                0.77671,                0.78525,                0.69242,                 0.5301,                0.82685,                 1.0402,              0.0095474,              0.0095474,              0.0095474
                     34,                 0.7263,                0.99743,                 1.2316,                0.68782,                0.76831,                0.80521,                0.71455,                0.52257,                0.76364,                 1.0316,              0.0095333,              0.0095333,              0.0095333
                     35,                0.71351,                0.96106,                 1.2202,                0.75014,                0.71485,                0.80404,                0.70836,                0.54529,                0.77906,                 1.0627,              0.0095191,              0.0095191,              0.0095191
                     36,                0.71423,                0.95765,                 1.2207,                0.66509,                  0.791,                0.79024,                0.70489,                0.52149,                0.76639,                 1.0301,               0.009505,               0.009505,               0.009505
                     37,                0.70864,                0.95186,                 1.2161,                0.68995,                0.74006,                0.78823,                0.69862,                0.51281,                0.78025,                 1.0175,              0.0094909,              0.0094909,              0.0094909
                     38,                0.70829,                0.95331,                 1.2169,                0.68582,                0.75197,                0.80597,                0.71264,                0.52474,                 0.7618,                 1.0305,              0.0094767,              0.0094767,              0.0094767
                     39,                0.71099,                0.94543,                 1.2163,                0.71304,                0.79022,                0.80256,                0.71671,                0.51049,                0.77447,                 1.0133,              0.0094626,              0.0094626,              0.0094626
