                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8983,                 3.8211,                 3.7171,                0.45142,                0.18277,                0.07744,                0.03219,                 2.1757,                 3.9093,                 3.0273,              0.0033247,              0.0033247,              0.0033247
                      2,                 2.0309,                 2.8056,                 2.6682,                0.23836,                0.26705,                0.16393,                0.08642,                 1.8298,                 2.4656,                 2.4676,              0.0066487,              0.0066487,              0.0066487
                      3,                 1.6316,                 2.2805,                 2.1675,                0.37183,                0.41815,                0.31889,                 0.1969,                 1.3357,                 2.0061,                 1.8362,              0.0099631,              0.0099631,              0.0099631
                      4,                 1.4443,                 1.9436,                 1.9235,                0.41657,                0.45151,                0.36119,                0.24467,                 1.1611,                 1.8108,                 1.6316,              0.0099576,              0.0099576,              0.0099576
                      5,                 1.3398,                  1.713,                 1.7785,                0.43456,                0.43763,                0.43212,                0.26101,                 1.2744,                 2.0582,                  1.659,              0.0099434,              0.0099434,              0.0099434
                      6,                 1.2665,                  1.597,                 1.6812,                0.46992,                0.57871,                0.52861,                0.36047,                 1.0799,                 1.6258,                    1.5,              0.0099293,              0.0099293,              0.0099293
                      7,                 1.2234,                 1.4986,                  1.634,                 0.5257,                0.49775,                0.54699,                0.42543,                0.87539,                 1.3743,                 1.3307,              0.0099151,              0.0099151,              0.0099151
                      8,                 1.2047,                 1.4709,                 1.6087,                0.53679,                0.55817,                0.53266,                0.40642,                  0.933,                 1.4325,                  1.349,               0.009901,               0.009901,               0.009901
                      9,                 1.1682,                 1.4267,                  1.569,                0.48828,                0.63558,                0.56533,                0.42327,                0.89942,                 1.5927,                 1.3178,              0.0098869,              0.0098869,              0.0098869
                     10,                 1.1421,                 1.3961,                 1.5422,                0.54001,                0.64352,                0.60411,                0.46079,                0.84114,                 1.3627,                 1.2813,              0.0098727,              0.0098727,              0.0098727
                     11,                 1.1225,                  1.347,                  1.518,                0.57327,                0.55214,                0.57745,                0.42612,                0.91987,                 1.5394,                  1.315,              0.0098586,              0.0098586,              0.0098586
                     12,                 1.0882,                 1.2982,                 1.4847,                0.60442,                0.66769,                0.67332,                0.54363,                 0.8202,                 1.0884,                 1.2323,              0.0098444,              0.0098444,              0.0098444
                     13,                 1.0691,                 1.2875,                  1.464,                0.54684,                0.71521,                0.65897,                0.52118,                0.80758,                 1.1655,                 1.2373,              0.0098303,              0.0098303,              0.0098303
                     14,                 1.0461,                   1.26,                 1.4436,                0.58667,                0.71886,                0.68603,                0.54425,                0.81814,                 1.0725,                 1.2217,              0.0098161,              0.0098161,              0.0098161
                     15,                  1.033,                 1.2331,                 1.4368,                0.60106,                0.67973,                0.69554,                0.54357,                0.83554,                 1.0628,                 1.2276,               0.009802,               0.009802,               0.009802
                     16,                 1.0223,                  1.213,                 1.4224,                0.63282,                 0.6719,                0.67979,                0.55219,                0.74016,                 1.0385,                 1.1808,              0.0097879,              0.0097879,              0.0097879
                     17,                 1.0003,                 1.1986,                 1.4042,                0.63781,                0.64118,                0.69408,                0.57524,                0.70092,                 1.0142,                 1.1312,              0.0097737,              0.0097737,              0.0097737
