                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1334,                 4.0428,                 3.9805,                0.00203,                0.35008,                0.00345,                0.00088,                 2.9981,                 3.9478,                 3.9148,              0.0033247,              0.0033247,              0.0033247
                      2,                 2.3826,                 3.1385,                 3.0776,                0.29121,                 0.2238,                0.16722,                0.08174,                 1.9976,                 2.5466,                  2.701,              0.0066487,              0.0066487,              0.0066487
                      3,                 1.7714,                 2.4342,                 2.3369,                0.45241,                0.34027,                0.23737,                 0.1363,                 1.5096,                 2.5434,                   2.02,              0.0099631,              0.0099631,              0.0099631
                      4,                 1.5053,                 2.0189,                 1.9755,                0.35069,                0.41905,                0.31812,                0.19632,                 1.1973,                 2.4607,                 1.6318,              0.0099576,              0.0099576,              0.0099576
                      5,                 1.3831,                 1.7723,                 1.8107,                0.39598,                 0.4876,                0.43525,                0.26785,                 1.3415,                 1.9427,                 1.6414,              0.0099434,              0.0099434,              0.0099434
                      6,                 1.3004,                 1.6456,                 1.6978,                0.38256,                0.60154,                0.43884,                0.30015,                 1.0633,                 1.7008,                 1.4621,              0.0099293,              0.0099293,              0.0099293
                      7,                 1.2595,                 1.5499,                 1.6539,                0.38395,                0.56997,                0.48785,                0.36113,                0.91646,                 1.6994,                 1.3387,              0.0099151,              0.0099151,              0.0099151
                      8,                 1.2335,                   1.51,                 1.6194,                 0.5494,                0.45539,                0.47302,                0.33953,                 1.1593,                 1.6455,                 1.4968,               0.009901,               0.009901,               0.009901
                      9,                  1.201,                 1.4607,                 1.5758,                0.45837,                0.59109,                0.53202,                0.37013,                 1.1119,                 1.4608,                 1.4416,              0.0098869,              0.0098869,              0.0098869
                     10,                 1.1645,                 1.4186,                 1.5457,                0.45606,                0.62301,                0.55903,                0.40796,                0.90022,                 1.3225,                  1.315,              0.0098727,              0.0098727,              0.0098727
                     11,                  1.149,                 1.3744,                 1.5239,                0.60068,                0.51767,                0.55631,                0.38127,                 1.0089,                 1.6315,                 1.3366,              0.0098586,              0.0098586,              0.0098586
                     12,                  1.108,                 1.3181,                 1.4864,                0.56542,                0.63384,                0.61839,                0.46247,                0.94048,                 1.1865,                 1.2839,              0.0098444,              0.0098444,              0.0098444
                     13,                 1.0848,                 1.3054,                 1.4592,                 0.5101,                 0.6826,                0.62429,                0.49745,                0.78694,                 1.1393,                 1.1868,              0.0098303,              0.0098303,              0.0098303
                     14,                 1.0605,                 1.2768,                   1.44,                0.58931,                0.65609,                 0.6488,                0.50734,                0.85039,                 1.2049,                 1.2153,              0.0098161,              0.0098161,              0.0098161
                     15,                 1.0451,                 1.2409,                  1.433,                0.63557,                0.68813,                0.70773,                0.54818,                0.87328,                  1.058,                 1.2253,               0.009802,               0.009802,               0.009802
                     16,                 1.0305,                 1.2115,                 1.4154,                0.53973,                0.64639,                0.62712,                0.51259,                0.74991,                 1.0991,                 1.1708,              0.0097879,              0.0097879,              0.0097879
                     17,                 1.0051,                 1.2039,                  1.392,                0.61156,                0.65652,                0.67488,                0.54945,                0.74738,                 1.2507,                 1.1437,              0.0097737,              0.0097737,              0.0097737
                     18,                0.99455,                 1.1742,                 1.3731,                0.59777,                0.67169,                0.69434,                0.56152,                0.75714,                 1.0375,                 1.1554,              0.0097596,              0.0097596,              0.0097596
                     19,                0.96796,                  1.159,                 1.3555,                0.66152,                0.67431,                0.74998,                0.61415,                0.70993,                0.98516,                 1.1217,              0.0097454,              0.0097454,              0.0097454
                     20,                0.96548,                 1.1458,                  1.349,                0.68384,                 0.6849,                 0.7477,                0.61468,                0.71489,                0.94997,                 1.1101,              0.0097313,              0.0097313,              0.0097313
                     21,                0.95129,                 1.1263,                 1.3371,                0.69091,                0.65377,                0.72758,                0.59593,                0.73149,                0.95868,                 1.1234,              0.0097171,              0.0097171,              0.0097171
                     22,                0.94786,                 1.1282,                 1.3328,                0.68289,                0.66827,                0.73905,                0.60083,                0.77809,                 0.9615,                 1.1494,               0.009703,               0.009703,               0.009703
                     23,                0.92638,                 1.0925,                 1.3159,                0.66391,                0.71884,                0.74875,                 0.6331,                 0.6619,                0.94738,                 1.0809,              0.0096889,              0.0096889,              0.0096889
                     24,                0.92012,                 1.0878,                 1.3092,                0.69714,                0.68836,                0.76488,                0.63028,                0.76136,                0.93605,                 1.1341,              0.0096747,              0.0096747,              0.0096747
                     25,                0.90931,                 1.0751,                 1.2959,                0.67475,                0.75033,                0.77822,                0.65267,                0.68691,                0.87451,                 1.0868,              0.0096606,              0.0096606,              0.0096606
                     26,                 0.9037,                 1.0702,                 1.2924,                0.66064,                0.70529,                0.72543,                0.59865,                 0.7344,                0.97375,                 1.1177,              0.0096464,              0.0096464,              0.0096464
                     27,                0.88419,                 1.0504,                 1.2816,                0.67041,                0.70286,                0.72793,                0.60502,                0.70842,                 0.9328,                 1.0915,              0.0096323,              0.0096323,              0.0096323
                     28,                0.88566,                 1.0484,                 1.2726,                0.70233,                0.69304,                0.76866,                0.65421,                 0.6538,                0.89137,                 1.0486,              0.0096181,              0.0096181,              0.0096181
                     29,                0.88213,                 1.0496,                 1.2638,                0.71366,                0.71749,                0.76882,                0.65507,                0.62414,                0.97079,                 1.0367,               0.009604,               0.009604,               0.009604
                     30,                0.86951,                 1.0397,                 1.2624,                 0.7272,                0.71109,                  0.807,                0.69288,                0.61363,                0.80482,                 1.0261,              0.0095899,              0.0095899,              0.0095899
                     31,                0.85773,                 1.0143,                 1.2542,                0.69458,                0.69706,                0.77567,                0.66036,                0.62085,                0.88581,                  1.026,              0.0095757,              0.0095757,              0.0095757
