                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3127,                 2.1219,                 1.4688,                0.37052,                 0.5477,                0.44273,                0.32723,                0.93385,                 1.6572,                 1.0554,              0.0033247,              0.0033247,              0.0033247
                      2,                 1.0764,                 1.2984,                 1.1883,                0.54515,                0.52757,                0.49263,                 0.3243,                 1.3503,                 1.5225,                 1.2536,              0.0066487,              0.0066487,              0.0066487
                      3,                 1.0738,                 1.3143,                 1.1983,                0.47388,                0.55652,                0.47103,                0.36902,                0.82437,                 1.8185,                 1.0232,              0.0099631,              0.0099631,              0.0099631
                      4,                 1.0567,                 1.3205,                 1.1982,                0.45157,                 0.5716,                0.44912,                0.34556,                0.83102,                  1.571,                 1.0497,              0.0099576,              0.0099576,              0.0099576
                      5,                0.97706,                  1.231,                  1.164,                0.49212,                0.63791,                0.57958,                0.45465,                0.84244,                  1.148,                 1.0427,              0.0099434,              0.0099434,              0.0099434
                      6,                0.93028,                 1.1523,                 1.1365,                0.64643,                0.69351,                0.72685,                 0.6069,                0.70501,                0.99299,                0.95952,              0.0099293,              0.0099293,              0.0099293
                      7,                0.89789,                 1.1015,                 1.1233,                0.52548,                0.70118,                 0.6725,                0.55311,                0.65123,                 1.0707,                0.94682,              0.0099151,              0.0099151,              0.0099151
                      8,                0.88719,                 1.0867,                 1.1184,                0.53117,                0.54505,                0.56609,                0.45961,                0.73223,                 1.3175,                0.99788,               0.009901,               0.009901,               0.009901
                      9,                0.86203,                  1.053,                 1.1042,                 0.6771,                 0.6908,                0.73799,                0.62103,                0.64976,                0.92607,                 0.9435,              0.0098869,              0.0098869,              0.0098869
                     10,                0.84094,                 1.0334,                 1.0947,                0.70776,                0.71188,                0.78403,                0.67272,                0.58554,                0.89033,                0.90352,              0.0098727,              0.0098727,              0.0098727
                     11,                0.82543,                0.99997,                 1.0837,                0.65582,                0.74333,                0.77735,                0.66726,                0.60246,                0.87452,                 0.9216,              0.0098586,              0.0098586,              0.0098586
                     12,                0.80281,                0.96105,                 1.0737,                0.69344,                0.70458,                0.76266,                0.66496,                0.59996,                  0.823,                0.91227,              0.0098444,              0.0098444,              0.0098444
                     13,                0.79628,                0.96883,                 1.0697,                0.58084,                0.78002,                0.71013,                0.62163,                0.57422,                0.94706,                0.90192,              0.0098303,              0.0098303,              0.0098303
                     14,                0.78439,                0.94041,                 1.0622,                  0.684,                0.78811,                0.80955,                0.70441,                0.57622,                0.77645,                0.89811,              0.0098161,              0.0098161,              0.0098161
                     15,                0.77744,                0.93338,                 1.0632,                0.72025,                0.76882,                0.82247,                0.71089,                0.58105,                0.75329,                0.91602,               0.009802,               0.009802,               0.009802
                     16,                0.76256,                 0.9151,                 1.0537,                0.73731,                0.75681,                0.81596,                0.70777,                0.57827,                 0.7664,                 0.9068,              0.0097879,              0.0097879,              0.0097879
                     17,                 0.7571,                0.89574,                 1.0526,                0.71402,                0.77389,                0.80423,                0.69945,                0.60517,                0.77147,                0.92423,              0.0097737,              0.0097737,              0.0097737
                     18,                0.74863,                0.88905,                 1.0442,                0.75655,                0.69113,                0.79252,                0.69989,                   0.56,                0.76363,                0.91123,              0.0097596,              0.0097596,              0.0097596
                     19,                0.74392,                0.87634,                 1.0432,                0.73762,                 0.7599,                0.83618,                0.74363,                0.55314,                0.72258,                0.89725,              0.0097454,              0.0097454,              0.0097454
                     20,                  0.743,                0.88321,                 1.0404,                0.73127,                0.79674,                0.82239,                0.72334,                0.55594,                0.77504,                0.90173,              0.0097313,              0.0097313,              0.0097313
                     21,                0.72463,                0.85079,                 1.0352,                0.67175,                0.72449,                0.78259,                0.68568,                0.56271,                0.81641,                0.89604,              0.0097171,              0.0097171,              0.0097171
                     22,                0.73321,                0.86096,                 1.0345,                0.70174,                0.78273,                0.82897,                0.73871,                0.53053,                0.75297,                0.87957,               0.009703,               0.009703,               0.009703
                     23,                0.71812,                0.83935,                 1.0314,                0.73107,                0.74959,                0.80159,                0.70371,                0.53571,                0.74752,                0.89534,              0.0096889,              0.0096889,              0.0096889
                     24,                0.71322,                 0.8308,                  1.031,                0.71373,                0.76784,                0.82275,                0.72732,                0.53653,                 0.7726,                0.88563,              0.0096747,              0.0096747,              0.0096747
                     25,                0.70187,                0.82373,                 1.0236,                 0.7285,                 0.8145,                0.83892,                0.74485,                0.51826,                0.68925,                0.86921,              0.0096606,              0.0096606,              0.0096606
                     26,                0.71446,                0.81895,                 1.0291,                0.69668,                0.79143,                0.80977,                0.72057,                0.53541,                0.74916,                0.87938,              0.0096464,              0.0096464,              0.0096464
                     27,                 0.6895,                0.78683,                 1.0205,                0.74222,                0.78318,                0.82904,                0.74083,                0.51585,                0.72222,                0.87686,              0.0096323,              0.0096323,              0.0096323
                     28,                0.69448,                0.79004,                 1.0178,                0.78075,                 0.7842,                 0.8518,                0.75953,                0.52874,                0.66925,                0.87527,              0.0096181,              0.0096181,              0.0096181
                     29,                0.69908,                0.79258,                 1.0136,                0.77404,                0.76892,                0.83867,                0.74648,                0.51948,                0.68631,                0.87272,               0.009604,               0.009604,               0.009604
                     30,                0.68813,                0.79588,                 1.0188,                0.76344,                0.78595,                 0.8357,                  0.749,                0.52464,                0.68289,                0.87853,              0.0095899,              0.0095899,              0.0095899
                     31,                 0.6813,                0.77583,                 1.0144,                0.78125,                0.77573,                0.83577,                0.75086,                0.50411,                0.68043,                0.86829,              0.0095757,              0.0095757,              0.0095757
                     32,                0.67613,                0.76275,                 1.0111,                0.75496,                0.79662,                0.85208,                0.76648,                0.50142,                 0.6522,                0.86374,              0.0095616,              0.0095616,              0.0095616
                     33,                 0.6851,                0.76357,                 1.0134,                0.81017,                0.72032,                0.83663,                0.74806,                0.49505,                0.68498,                0.86163,              0.0095474,              0.0095474,              0.0095474
                     34,                0.67725,                 0.7554,                 1.0136,                0.71418,                0.78661,                0.82565,                0.74366,                0.49123,                 0.6827,                0.85832,              0.0095333,              0.0095333,              0.0095333
                     35,                0.66711,                0.73898,                 1.0044,                0.80637,                0.76012,                0.85083,                0.76192,                0.49764,                0.67416,                0.86455,              0.0095191,              0.0095191,              0.0095191
                     36,                0.66879,                0.73194,                 1.0091,                0.79805,                0.77143,                0.86284,                0.77222,                0.48414,                0.66043,                0.85456,               0.009505,               0.009505,               0.009505
                     37,                  0.664,                0.72467,                 1.0049,                0.77303,                0.77279,                0.84852,                0.76277,                0.48559,                0.66924,                0.85447,              0.0094909,              0.0094909,              0.0094909
                     38,                0.66258,                0.73276,                 1.0033,                0.75381,                0.80746,                0.85188,                0.76813,                0.48852,                0.68238,                0.85725,              0.0094767,              0.0094767,              0.0094767
                     39,                0.66397,                0.72123,                 1.0027,                0.79842,                0.80284,                0.86826,                0.78459,                0.47852,                 0.6361,                0.85478,              0.0094626,              0.0094626,              0.0094626
                     40,                0.66114,                0.72624,                 1.0078,                0.79446,                0.77033,                 0.8409,                0.75023,                0.49107,                0.68663,                0.86095,              0.0094484,              0.0094484,              0.0094484
                     41,                 0.6506,                0.70709,                0.99742,                0.80134,                0.75032,                 0.8476,                0.76502,                0.47434,                0.65433,                0.85384,              0.0094343,              0.0094343,              0.0094343
                     42,                 0.6505,                0.71232,                 1.0038,                0.77523,                0.84245,                0.87075,                0.78074,                0.47816,                0.62823,                0.85026,              0.0094201,              0.0094201,              0.0094201
                     43,                0.65259,                0.70503,                0.99871,                0.79887,                0.76897,                0.84732,                0.77023,                0.47118,                0.63887,                 0.8496,               0.009406,               0.009406,               0.009406
                     44,                0.64936,                0.70345,                0.99989,                0.78227,                0.81301,                0.85722,                0.77707,                0.47392,                0.64058,                0.84607,              0.0093919,              0.0093919,              0.0093919
                     45,                0.64676,                0.68928,                0.99712,                0.83339,                0.77058,                0.86086,                0.78267,                0.47336,                0.64382,                0.84909,              0.0093777,              0.0093777,              0.0093777
                     46,                0.63979,                0.67951,                0.98944,                0.80924,                0.77251,                0.85743,                0.77529,                0.48429,                0.64423,                0.85814,              0.0093636,              0.0093636,              0.0093636
                     47,                0.64105,                0.67847,                0.99547,                0.81474,                0.79104,                0.85959,                0.77541,                0.47486,                0.63857,                0.84916,              0.0093494,              0.0093494,              0.0093494
                     48,                0.64627,                0.68519,                0.99348,                0.77536,                 0.8297,                0.86147,                0.77244,                0.47805,                0.62706,                0.85611,              0.0093353,              0.0093353,              0.0093353
                     49,                0.64146,                0.67121,                0.99356,                0.77631,                0.80204,                0.85688,                0.77644,                 0.4716,                0.64771,                0.84851,              0.0093211,              0.0093211,              0.0093211
                     50,                0.63437,                 0.6641,                0.98575,                0.78263,                0.77782,                0.85018,                  0.767,                0.47942,                 0.6456,                0.85438,               0.009307,               0.009307,               0.009307
                     51,                0.62664,                0.65337,                0.98721,                0.79982,                0.79862,                0.86092,                0.78282,                0.47497,                0.63054,                0.84957,              0.0092929,              0.0092929,              0.0092929
                     52,                0.62898,                0.66192,                0.98588,                0.77226,                0.82077,                 0.8527,                0.77454,                0.46792,                0.63638,                0.84978,              0.0092787,              0.0092787,              0.0092787
                     53,                0.63523,                0.65428,                0.99279,                0.75133,                0.83192,                0.84699,                0.77091,                0.46033,                 0.6353,                 0.8406,              0.0092646,              0.0092646,              0.0092646
                     54,                0.62188,                0.64406,                0.98137,                0.80932,                0.77861,                0.85403,                0.77795,                 0.4598,                0.63971,                0.84295,              0.0092504,              0.0092504,              0.0092504
                     55,                0.62267,                0.64736,                0.98519,                0.80266,                0.80537,                0.85517,                0.77499,                0.47148,                0.66857,                0.85505,              0.0092363,              0.0092363,              0.0092363
                     56,                0.61891,                0.64253,                0.98473,                0.77947,                0.81169,                0.84815,                0.77672,                 0.4615,                0.63134,                0.84535,              0.0092221,              0.0092221,              0.0092221
                     57,                0.62159,                0.64092,                0.98863,                0.82608,                0.76248,                0.86395,                  0.793,                 0.4524,                0.61291,                0.84353,               0.009208,               0.009208,               0.009208
                     58,                0.61565,                0.63348,                0.97832,                0.79866,                0.80204,                0.84916,                0.77421,                0.45415,                0.62352,                0.84361,              0.0091939,              0.0091939,              0.0091939
                     59,                 0.6172,                0.64138,                0.98283,                0.77145,                0.81994,                0.86728,                0.78882,                0.45971,                0.60446,                0.84557,              0.0091797,              0.0091797,              0.0091797
                     60,                0.62092,                0.62759,                0.98365,                0.80144,                0.81037,                 0.8537,                0.77926,                0.45757,                 0.6183,                0.84334,              0.0091656,              0.0091656,              0.0091656
                     61,                0.62049,                0.62764,                0.98174,                0.79531,                0.80372,                0.85944,                0.79004,                0.44633,                0.60269,                0.83659,              0.0091514,              0.0091514,              0.0091514
                     62,                0.61374,                 0.6275,                0.98052,                0.79723,                0.81526,                0.87698,                0.80456,                0.45095,                0.59634,                0.84231,              0.0091373,              0.0091373,              0.0091373
                     63,                0.61934,                0.63365,                0.97907,                0.80553,                0.82083,                0.86143,                0.78533,                 0.4519,                0.60478,                0.84444,              0.0091231,              0.0091231,              0.0091231
                     64,                0.60933,                0.61911,                0.98429,                0.80552,                0.81705,                0.86973,                0.79434,                0.46624,                0.57709,                0.86226,               0.009109,               0.009109,               0.009109
                     65,                0.60361,                0.60675,                0.97334,                0.79986,                0.80946,                0.85911,                0.78919,                0.45275,                0.62256,                0.84579,              0.0090949,              0.0090949,              0.0090949
