                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0921,                 4.0318,                 4.0228,                0.00138,                0.28355,                0.00096,                0.00029,                 3.0274,                 4.3283,                 4.2424,              0.0033247,              0.0033247,              0.0033247
                      2,                 2.2216,                 3.0091,                 2.9791,                0.27006,                0.05616,                0.09176,                0.04461,                 2.2399,                 3.2614,                 3.1281,              0.0066487,              0.0066487,              0.0066487
                      3,                  1.656,                 2.3212,                 2.2283,                 0.3056,                0.40493,                0.24314,                0.14557,                 1.3843,                 2.2046,                 1.9097,              0.0099631,              0.0099631,              0.0099631
                      4,                 1.4429,                 1.9507,                 1.9318,                0.35137,                0.43166,                0.34535,                0.21238,                 1.3476,                 1.8315,                 1.8242,              0.0099576,              0.0099576,              0.0099576
                      5,                 1.3411,                 1.7365,                 1.7977,                  0.436,                0.49706,                0.38251,                0.21572,                 1.4634,                 1.6944,                 1.8611,              0.0099434,              0.0099434,              0.0099434
                      6,                 1.2754,                 1.6248,                 1.7044,                0.45024,                0.51494,                0.48083,                0.32337,                 1.0845,                  1.652,                 1.5473,              0.0099293,              0.0099293,              0.0099293
                      7,                 1.2444,                 1.5312,                 1.6673,                0.42546,                0.59952,                0.51883,                0.38556,                0.89869,                 1.3844,                 1.3793,              0.0099151,              0.0099151,              0.0099151
                      8,                 1.2216,                 1.5037,                 1.6439,                0.50117,                0.58202,                0.54313,                0.40645,                0.93553,                 1.4787,                 1.3781,               0.009901,               0.009901,               0.009901
                      9,                  1.186,                 1.4625,                 1.5955,                0.50008,                0.58147,                0.54924,                0.39875,                 1.0544,                  1.509,                 1.4778,              0.0098869,              0.0098869,              0.0098869
                     10,                 1.1611,                 1.4269,                 1.5759,                0.53655,                0.49808,                0.48911,                0.37135,                0.79516,                 1.4354,                 1.2768,              0.0098727,              0.0098727,              0.0098727
                     11,                 1.1434,                  1.385,                 1.5601,                0.55616,                0.53783,                0.54316,                0.39151,                0.93565,                 1.5988,                 1.3867,              0.0098586,              0.0098586,              0.0098586
                     12,                  1.113,                 1.3435,                 1.5244,                0.51453,                0.60976,                0.56892,                0.43458,                0.89411,                   1.19,                 1.3138,              0.0098444,              0.0098444,              0.0098444
                     13,                 1.0866,                  1.338,                 1.4922,                0.45552,                0.72288,                0.59991,                0.45737,                0.82069,                 1.1775,                  1.262,              0.0098303,              0.0098303,              0.0098303
                     14,                 1.0665,                 1.3046,                  1.474,                0.47983,                0.65795,                0.59555,                0.45397,                 0.8838,                 1.1279,                   1.29,              0.0098161,              0.0098161,              0.0098161
                     15,                  1.054,                 1.2901,                 1.4684,                0.55834,                 0.6255,                 0.6255,                0.49527,                0.83333,                 1.1261,                 1.2781,               0.009802,               0.009802,               0.009802
                     16,                 1.0368,                 1.2516,                 1.4476,                0.58619,                0.65821,                0.66096,                0.53468,                0.76078,                 1.0981,                  1.218,              0.0097879,              0.0097879,              0.0097879
                     17,                 1.0082,                 1.2459,                 1.4246,                0.59621,                0.62729,                0.63313,                0.50863,                 0.8415,                 1.1046,                 1.2599,              0.0097737,              0.0097737,              0.0097737
                     18,                0.99729,                 1.2113,                 1.4054,                0.58141,                0.67276,                0.66288,                0.52251,                0.82265,                 1.0729,                 1.2592,              0.0097596,              0.0097596,              0.0097596
                     19,                0.97807,                 1.1878,                 1.4015,                0.58962,                0.70501,                0.69646,                0.55452,                  0.754,                 1.1262,                 1.2006,              0.0097454,              0.0097454,              0.0097454
                     20,                0.96846,                 1.1931,                 1.3821,                0.65537,                 0.6852,                0.71294,                0.59489,                0.66725,                 1.0041,                 1.1491,              0.0097313,              0.0097313,              0.0097313
                     21,                0.95324,                 1.1626,                 1.3742,                0.64085,                0.68299,                0.72364,                0.59814,                0.68602,                 0.9465,                 1.1457,              0.0097171,              0.0097171,              0.0097171
                     22,                0.94621,                 1.1713,                 1.3664,                0.61128,                0.72528,                  0.736,                 0.6032,                0.72001,                 1.0054,                 1.1621,               0.009703,               0.009703,               0.009703
                     23,                0.92812,                  1.138,                 1.3511,                0.66542,                0.67179,                 0.7254,                0.60079,                0.68688,                0.95676,                 1.1569,              0.0096889,              0.0096889,              0.0096889
                     24,                0.91955,                 1.1162,                  1.343,                 0.6289,                0.73275,                0.72843,                0.59755,                0.73455,                0.96995,                 1.2001,              0.0096747,              0.0096747,              0.0096747
                     25,                0.90341,                 1.1046,                 1.3238,                0.71538,                0.70475,                0.76726,                0.64255,                0.66912,                0.89959,                 1.1043,              0.0096606,              0.0096606,              0.0096606
                     26,                0.90351,                 1.1058,                 1.3204,                 0.6879,                0.71956,                0.76051,                0.64415,                  0.639,                0.95703,                 1.1039,              0.0096464,              0.0096464,              0.0096464
                     27,                0.88261,                 1.0807,                 1.3133,                0.67044,                0.72822,                0.74952,                0.62834,                0.67077,                0.90126,                 1.1321,              0.0096323,              0.0096323,              0.0096323
                     28,                0.88557,                 1.0805,                 1.3029,                0.66518,                0.72677,                0.76474,                0.62637,                0.76285,                0.89739,                 1.2228,              0.0096181,              0.0096181,              0.0096181
                     29,                0.88901,                 1.0824,                 1.2988,                0.70726,                0.71175,                0.77259,                0.66267,                0.62782,                0.91811,                 1.0927,               0.009604,               0.009604,               0.009604
                     30,                0.87259,                 1.0768,                 1.3005,                0.68903,                0.71366,                0.77579,                0.65938,                0.63801,                 0.8606,                  1.092,              0.0095899,              0.0095899,              0.0095899
                     31,                0.86564,                 1.0547,                 1.2924,                0.66535,                0.71828,                0.76407,                0.65048,                0.63071,                0.87945,                 1.0932,              0.0095757,              0.0095757,              0.0095757
                     32,                0.85624,                 1.0416,                   1.29,                  0.688,                0.74852,                0.78604,                0.67088,                  0.619,                0.86817,                 1.0823,              0.0095616,              0.0095616,              0.0095616
                     33,                0.86209,                 1.0392,                 1.2833,                0.71306,                0.73292,                0.78472,                0.65464,                0.70989,                 0.8603,                 1.1642,              0.0095474,              0.0095474,              0.0095474
                     34,                0.85708,                 1.0421,                 1.2866,                0.67108,                0.71401,                0.78278,                0.67481,                0.61595,                0.83843,                 1.0721,              0.0095333,              0.0095333,              0.0095333
                     35,                0.84018,                 1.0128,                 1.2643,                 0.7154,                0.72379,                 0.7784,                0.67093,                0.62226,                0.92315,                 1.0773,              0.0095191,              0.0095191,              0.0095191
                     36,                0.83516,                 1.0047,                 1.2628,                0.64824,                0.75032,                0.77858,                0.64079,                0.71266,                 0.8864,                 1.1896,               0.009505,               0.009505,               0.009505
                     37,                0.83391,                 1.0017,                 1.2601,                0.65691,                0.72166,                0.74624,                0.64504,                0.59948,                0.84934,                 1.0595,              0.0094909,              0.0094909,              0.0094909
                     38,                0.82692,                0.99635,                 1.2592,                0.68522,                0.73538,                0.78665,                0.68426,                0.58607,                0.88079,                 1.0505,              0.0094767,              0.0094767,              0.0094767
                     39,                 0.8355,                 1.0011,                 1.2563,                0.72816,                0.71843,                0.78288,                0.67995,                0.58034,                0.83924,                 1.0523,              0.0094626,              0.0094626,              0.0094626
                     40,                0.82304,                 0.9995,                 1.2535,                0.71438,                0.69857,                 0.7652,                0.66829,                0.58433,                0.82783,                 1.0411,              0.0094484,              0.0094484,              0.0094484
                     41,                0.80809,                0.97883,                 1.2294,                0.71381,                 0.7401,                0.78266,                0.68061,                0.57197,                0.85352,                 1.0371,              0.0094343,              0.0094343,              0.0094343
                     42,                0.80676,                0.98554,                 1.2409,                0.71987,                0.72896,                0.79908,                0.69283,                0.60177,                0.78234,                 1.0632,              0.0094201,              0.0094201,              0.0094201
                     43,                0.81304,                0.97098,                 1.2395,                0.71257,                0.73229,                0.80313,                0.69733,                0.59208,                0.77659,                 1.0469,               0.009406,               0.009406,               0.009406
                     44,                0.80601,                 0.9661,                 1.2369,                0.73091,                0.71816,                0.78359,                0.68781,                0.57318,                0.82139,                 1.0284,              0.0093919,              0.0093919,              0.0093919
                     45,                0.82104,                0.95913,                 1.2405,                0.74361,                0.70415,                0.80337,                0.70161,                0.57342,                0.78404,                 1.0386,              0.0093777,              0.0093777,              0.0093777
                     46,                0.80651,                0.95953,                  1.225,                0.71748,                0.71329,                0.79301,                0.69299,                0.57598,                0.76942,                 1.0402,              0.0093636,              0.0093636,              0.0093636
                     47,                0.80682,                0.95631,                 1.2344,                0.74546,                0.75057,                0.81193,                0.70116,                 0.5714,                 0.7776,                 1.0356,              0.0093494,              0.0093494,              0.0093494
                     48,                0.81304,                0.94839,                 1.2286,                0.70993,                0.76393,                0.80841,                0.69919,                0.60064,                 0.7832,                  1.049,              0.0093353,              0.0093353,              0.0093353
                     49,                0.80513,                0.93091,                 1.2317,                0.71921,                 0.7391,                0.79386,                0.69312,                0.58147,                0.79764,                 1.0357,              0.0093211,              0.0093211,              0.0093211
                     50,                0.79333,                0.92805,                 1.2173,                 0.7142,                 0.7765,                0.81318,                 0.7052,                 0.5743,                0.75857,                   1.04,               0.009307,               0.009307,               0.009307
                     51,                 0.7844,                0.92549,                 1.2169,                0.74893,                0.72421,                0.81223,                0.70965,                0.55666,                0.77577,                 1.0206,              0.0092929,              0.0092929,              0.0092929
                     52,                0.79204,                0.92744,                 1.2164,                 0.6944,                 0.7645,                0.80631,                0.70385,                0.56112,                 0.7609,                 1.0163,              0.0092787,              0.0092787,              0.0092787
                     53,                0.79011,                 0.9221,                   1.21,                0.70033,                0.73943,                0.80121,                0.71119,                0.55311,                0.76795,                 1.0072,              0.0092646,              0.0092646,              0.0092646
                     54,                0.78117,                0.91103,                 1.2076,                0.70621,                0.77403,                0.81794,                0.72262,                0.54539,                0.74475,                 1.0109,              0.0092504,              0.0092504,              0.0092504
                     55,                0.77961,                0.91803,                 1.2071,                0.73834,                0.75686,                0.81832,                0.72511,                0.55008,                0.76173,                 1.0148,              0.0092363,              0.0092363,              0.0092363
                     56,                0.77083,                0.89085,                 1.2031,                0.74548,                0.74698,                0.81256,                0.71991,                0.55334,                0.73257,                 1.0131,              0.0092221,              0.0092221,              0.0092221
                     57,                0.77142,                0.90148,                 1.2007,                0.75894,                0.75484,                 0.8265,                0.73032,                 0.5672,                0.73868,                 1.0203,               0.009208,               0.009208,               0.009208
                     58,                0.77348,                0.89944,                 1.1981,                0.75012,                0.74489,                0.81325,                0.72064,                0.55112,                0.75964,                 1.0095,              0.0091939,              0.0091939,              0.0091939
                     59,                0.76667,                0.90395,                 1.1965,                0.73188,                0.75753,                0.81535,                0.72017,                0.55267,                0.73778,                 1.0121,              0.0091797,              0.0091797,              0.0091797
                     60,                0.77597,                0.89845,                 1.2008,                0.76355,                0.73664,                0.81469,                0.72495,                0.53923,                0.74617,                 1.0005,              0.0091656,              0.0091656,              0.0091656
                     61,                0.76899,                0.89636,                 1.1888,                0.75064,                0.75285,                0.83479,                0.74389,                0.54385,                0.71979,                0.99355,              0.0091514,              0.0091514,              0.0091514
                     62,                0.76531,                0.90175,                 1.1902,                0.74791,                0.74139,                0.83108,                0.74396,                0.53088,                0.72532,                 0.9894,              0.0091373,              0.0091373,              0.0091373
                     63,                0.77241,                0.89665,                 1.1896,                0.74622,                0.73955,                0.81747,                0.72884,                0.53617,                  0.739,                0.99347,              0.0091231,              0.0091231,              0.0091231
                     64,                0.75841,                0.87458,                 1.1846,                0.73845,                 0.7782,                0.83513,                0.74106,                0.53479,                0.71232,                0.99688,               0.009109,               0.009109,               0.009109
                     65,                0.75615,                0.86183,                 1.1799,                0.69877,                0.77969,                0.81644,                0.72599,                0.53398,                0.73148,                0.99532,              0.0090949,              0.0090949,              0.0090949
                     66,                0.75092,                0.86911,                 1.1796,                0.74525,                0.76086,                0.82447,                0.74115,                0.51128,                0.71809,                0.97108,              0.0090807,              0.0090807,              0.0090807
                     67,                0.75768,                0.86059,                 1.1857,                0.73814,                0.77458,                0.82785,                 0.7363,                 0.5263,                0.71876,                 0.9795,              0.0090666,              0.0090666,              0.0090666
                     68,                0.74909,                0.86411,                 1.1782,                0.72893,                0.77734,                0.82647,                0.73497,                0.52294,                0.72792,                0.97822,              0.0090524,              0.0090524,              0.0090524
                     69,                0.76393,                0.86146,                 1.1823,                 0.7228,                0.78035,                0.83058,                0.74682,                 0.5186,                0.70334,                0.97899,              0.0090383,              0.0090383,              0.0090383
                     70,                0.75379,                0.87136,                 1.1826,                0.74917,                0.72948,                0.82857,                0.74194,                0.53098,                0.71932,                0.98573,              0.0090241,              0.0090241,              0.0090241
                     71,                0.74957,                0.85756,                 1.1779,                0.78943,                0.72813,                0.83273,                0.74423,                0.52151,                0.70398,                0.98105,                0.00901,                0.00901,                0.00901
                     72,                0.74475,                0.84321,                 1.1725,                0.77619,                0.73782,                0.83385,                0.74772,                0.52628,                0.70065,                0.98322,              0.0089959,              0.0089959,              0.0089959
                     73,                0.75439,                0.85523,                 1.1734,                0.73989,                0.76093,                 0.8243,                0.73699,                0.52142,                0.70966,                0.97778,              0.0089817,              0.0089817,              0.0089817
                     74,                 0.7382,                0.84419,                  1.167,                 0.7527,                0.76131,                0.83666,                0.75094,                0.52508,                0.70496,                0.98396,              0.0089676,              0.0089676,              0.0089676
                     75,                0.74471,                0.84748,                 1.1743,                0.75105,                0.75993,                0.83212,                0.74545,                0.51607,                0.70406,                0.97493,              0.0089534,              0.0089534,              0.0089534
                     76,                0.74219,                0.84212,                 1.1706,                0.72665,                0.79883,                0.83751,                0.74861,                0.51712,                  0.697,                0.96675,              0.0089393,              0.0089393,              0.0089393
                     77,                0.73282,                0.83072,                 1.1589,                0.73862,                0.77974,                0.83088,                0.73671,                0.51958,                0.71396,                0.97524,              0.0089251,              0.0089251,              0.0089251
                     78,                0.73543,                0.83977,                 1.1619,                0.71984,                0.77251,                 0.8267,                0.74097,                0.51752,                 0.7181,                0.97922,               0.008911,               0.008911,               0.008911
                     79,                0.74035,                0.83186,                 1.1728,                0.75465,                0.75476,                0.83382,                0.75185,                0.51126,                0.70979,                0.97003,              0.0088969,              0.0088969,              0.0088969
                     80,                0.73712,                0.83037,                 1.1656,                0.75549,                 0.7534,                0.83293,                0.74764,                0.51071,                0.71124,                0.97191,              0.0088827,              0.0088827,              0.0088827
                     81,                0.73309,                0.82358,                 1.1614,                 0.7336,                 0.7797,                0.83867,                0.75337,                0.50817,                0.70171,                0.96672,              0.0088686,              0.0088686,              0.0088686
                     82,                0.73582,                 0.8224,                 1.1578,                0.72923,                0.78636,                0.83084,                0.75048,                0.49663,                0.69507,                0.94948,              0.0088544,              0.0088544,              0.0088544
                     83,                0.72409,                0.82414,                 1.1516,                0.72073,                0.79132,                0.83135,                0.74912,                 0.5051,                0.70707,                0.96139,              0.0088403,              0.0088403,              0.0088403
                     84,                0.72508,                0.81304,                 1.1592,                0.74857,                0.77588,                0.83858,                0.75637,                0.50721,                0.70404,                0.96303,              0.0088261,              0.0088261,              0.0088261
                     85,                 0.7264,                0.81628,                 1.1568,                 0.7328,                0.78133,                0.82874,                0.74823,                0.50423,                0.70278,                0.96544,               0.008812,               0.008812,               0.008812
                     86,                0.72737,                0.81221,                 1.1544,                0.78006,                0.75018,                0.83694,                0.75446,                 0.5092,                0.70056,                0.96613,              0.0087979,              0.0087979,              0.0087979
                     87,                0.72854,                0.80934,                 1.1539,                0.73662,                 0.7834,                0.83806,                0.75615,                0.50222,                0.69096,                0.95836,              0.0087837,              0.0087837,              0.0087837
                     88,                0.72247,                0.80815,                  1.152,                0.71914,                0.80273,                0.83425,                0.75025,                0.50246,                0.70101,                0.95504,              0.0087696,              0.0087696,              0.0087696
                     89,                0.72297,                0.80203,                 1.1501,                0.76854,                0.75356,                0.83833,                0.75658,                0.49718,                0.69039,                0.95085,              0.0087554,              0.0087554,              0.0087554
                     90,                0.72214,                0.81149,                 1.1486,                0.76061,                0.78042,                0.84052,                0.75983,                0.50217,                0.68442,                0.95367,              0.0087413,              0.0087413,              0.0087413
                     91,                0.71333,                0.79651,                 1.1433,                0.76788,                0.77103,                0.84117,                 0.7623,                0.50399,                0.68564,                0.95793,              0.0087271,              0.0087271,              0.0087271
                     92,                0.71502,                0.78929,                 1.1502,                0.76812,                0.78364,                0.84607,                0.76531,                0.50335,                0.67275,                0.95985,               0.008713,               0.008713,               0.008713
                     93,                0.71392,                0.79657,                 1.1401,                0.76793,                0.78542,                0.84289,                0.75918,                0.49723,                0.67689,                0.95377,              0.0086989,              0.0086989,              0.0086989
                     94,                0.70824,                0.78114,                  1.144,                0.76688,                 0.7669,                 0.8434,                0.76246,                0.49285,                 0.6814,                0.95052,              0.0086847,              0.0086847,              0.0086847
                     95,                0.70326,                0.77488,                 1.1388,                0.76456,                0.79512,                0.85081,                0.76694,                0.49765,                0.66806,                  0.953,              0.0086706,              0.0086706,              0.0086706
                     96,                0.70871,                0.77994,                 1.1373,                0.75617,                0.79773,                0.84984,                0.76621,                0.49503,                0.66508,                0.95022,              0.0086564,              0.0086564,              0.0086564
                     97,                 0.7104,                0.78649,                 1.1415,                0.77463,                0.77504,                0.84822,                0.76761,                0.49343,                0.66905,                0.94312,              0.0086423,              0.0086423,              0.0086423
                     98,                0.69887,                0.76342,                 1.1284,                0.79072,                0.76185,                0.84294,                0.76395,                0.49089,                0.67917,                0.93938,              0.0086281,              0.0086281,              0.0086281
                     99,                0.71276,                0.77991,                 1.1434,                0.77898,                0.77253,                0.84101,                0.76024,                0.49641,                0.68612,                0.94858,               0.008614,               0.008614,               0.008614
                    100,                0.69666,                 0.7764,                  1.129,                0.77308,                 0.7657,                0.84285,                0.76465,                 0.4893,                0.68065,                0.94065,              0.0085999,              0.0085999,              0.0085999
                    101,                0.70476,                0.76205,                  1.132,                0.74356,                 0.7994,                  0.841,                0.76275,                0.48913,                0.68651,                 0.9389,              0.0085857,              0.0085857,              0.0085857
